,Sampling p(meas = 1),# wrong decisions p0.01,# wrong decisions p0.05,# wrong decisions p0.1,# wrong decisions p0.15,# wrong decisions p0.18,# wrong decisions p0.2,# wrong decisions p0.3,# wrong decisions p0.4,# wrong decisions p0.5,# wrong decisions p0.7
circuit121.qasm,0.7499999999999996,22.0,30.0,29.0,26.0,32.0,39.0,26.0,36.0,41.0,36.0
circuit091.qasm,0.3636262177912838,33.0,41.0,44.0,42.0,35.0,41.0,42.0,43.0,44.0,47.0
circuit131.qasm,0.9267766952966361,6.0,11.0,12.0,15.0,16.0,10.0,21.0,29.0,26.0,38.0
circuit062.qasm,0.375,40.0,37.0,34.0,33.0,31.0,36.0,43.0,39.0,50.0,44.0
circuit290.qasm,0.1464466094067265,18.0,18.0,15.0,24.0,16.0,22.0,26.0,20.0,31.0,38.0
circuit644.qasm,5.551115123125783e-16,0.0,6.0,4.0,5.0,7.0,12.0,16.0,18.0,18.0,40.0
circuit293.qasm,6.106226635438361e-16,1.0,1.0,4.0,11.0,7.0,13.0,17.0,26.0,14.0,33.0
circuit584.qasm,0.7499999999999999,17.0,26.0,23.0,27.0,31.0,26.0,32.0,41.0,41.0,37.0
circuit593.qasm,7.771561172376096e-16,1.0,4.0,4.0,7.0,11.0,8.0,11.0,22.0,27.0,34.0
circuit863.qasm,8.881784197001252e-16,1.0,1.0,8.0,10.0,6.0,7.0,6.0,22.0,21.0,27.0
circuit602.qasm,0.9999999999999992,0.0,3.0,3.0,7.0,10.0,9.0,9.0,23.0,23.0,41.0
circuit261.qasm,7.771561172376096e-16,0.0,1.0,6.0,7.0,6.0,13.0,13.0,22.0,19.0,23.0
circuit791.qasm,5.551115123125783e-16,0.0,4.0,4.0,8.0,13.0,9.0,15.0,16.0,27.0,38.0
circuit210.qasm,0.8535533905932733,7.0,17.0,15.0,13.0,18.0,21.0,26.0,24.0,25.0,33.0
circuit366.qasm,4.440892098500626e-16,0.0,1.0,6.0,9.0,5.0,8.0,16.0,23.0,22.0,43.0
circuit436.qasm,0.9267766952966364,10.0,6.0,14.0,15.0,10.0,21.0,19.0,31.0,35.0,33.0
circuit000.qasm,0.3232233047033634,33.0,35.0,36.0,32.0,32.0,39.0,40.0,45.0,37.0,50.0
circuit813.qasm,0.8535533905932733,18.0,11.0,18.0,24.0,18.0,22.0,20.0,33.0,31.0,37.0
circuit604.qasm,0.8535533905932732,13.0,19.0,19.0,18.0,18.0,25.0,25.0,23.0,27.0,48.0
circuit997.qasm,0.713388347648318,20.0,28.0,31.0,24.0,28.0,36.0,43.0,40.0,38.0,44.0
circuit723.qasm,6.106226635438361e-16,0.0,1.0,5.0,12.0,12.0,4.0,10.0,15.0,25.0,37.0
circuit393.qasm,7.771561172376096e-16,0.0,4.0,5.0,13.0,7.0,9.0,12.0,15.0,23.0,37.0
circuit585.qasm,0.8535533905932733,12.0,13.0,26.0,18.0,25.0,23.0,22.0,28.0,32.0,41.0
circuit856.qasm,0.8535533905932733,10.0,25.0,22.0,19.0,15.0,18.0,27.0,32.0,34.0,47.0
circuit151.qasm,0.7499999999999996,26.0,31.0,33.0,35.0,31.0,29.0,26.0,33.0,37.0,36.0
circuit458.qasm,0.9999999999999994,1.0,4.0,4.0,8.0,8.0,8.0,12.0,26.0,20.0,33.0
circuit083.qasm,0.8535533905932733,22.0,22.0,22.0,17.0,26.0,21.0,30.0,24.0,34.0,47.0
circuit336.qasm,0.8017766952966363,24.0,30.0,20.0,33.0,15.0,25.0,33.0,32.0,36.0,44.0
circuit465.qasm,0.8535533905932733,14.0,17.0,18.0,22.0,20.0,20.0,26.0,27.0,22.0,51.0
circuit347.qasm,0.6767766952966365,27.0,35.0,31.0,34.0,33.0,27.0,41.0,37.0,47.0,40.0
circuit258.qasm,0.8901650429449547,8.0,10.0,18.0,17.0,25.0,18.0,23.0,27.0,37.0,40.0
circuit379.qasm,6.106226635438361e-16,0.0,2.0,4.0,7.0,16.0,14.0,16.0,24.0,20.0,34.0
circuit339.qasm,0.8535533905932735,14.0,13.0,14.0,23.0,27.0,25.0,29.0,28.0,30.0,33.0
circuit150.qasm,7.771561172376096e-16,0.0,4.0,4.0,7.0,12.0,10.0,10.0,19.0,21.0,26.0
circuit972.qasm,6.661338147750939e-16,0.0,2.0,2.0,7.0,9.0,11.0,21.0,26.0,16.0,39.0
circuit677.qasm,0.25000000000000044,27.0,24.0,19.0,28.0,28.0,25.0,25.0,37.0,45.0,50.0
circuit340.qasm,4.440892098500626e-16,0.0,1.0,5.0,7.0,8.0,11.0,11.0,16.0,24.0,36.0
circuit781.qasm,0.21338834764831882,18.0,15.0,30.0,26.0,28.0,29.0,34.0,32.0,40.0,41.0
circuit372.qasm,0.25000000000000033,21.0,26.0,32.0,28.0,33.0,28.0,37.0,40.0,37.0,38.0
circuit269.qasm,4.996003610813204e-16,1.0,3.0,5.0,8.0,14.0,12.0,18.0,15.0,30.0,35.0
circuit018.qasm,0.6767766952966366,29.0,38.0,22.0,28.0,31.0,37.0,34.0,36.0,38.0,48.0
circuit136.qasm,0.9267766952966363,8.0,7.0,13.0,12.0,15.0,20.0,22.0,26.0,33.0,39.0
circuit695.qasm,0.07322330470336358,6.0,11.0,13.0,10.0,12.0,14.0,22.0,18.0,29.0,43.0
circuit116.qasm,0.14644660940672682,17.0,22.0,26.0,17.0,24.0,21.0,24.0,27.0,36.0,51.0
circuit287.qasm,0.8535533905932733,13.0,10.0,19.0,15.0,26.0,27.0,24.0,31.0,34.0,41.0
circuit110.qasm,0.7499999999999996,24.0,23.0,25.0,27.0,25.0,30.0,32.0,37.0,26.0,43.0
circuit912.qasm,7.771561172376096e-16,1.0,6.0,4.0,9.0,9.0,13.0,16.0,19.0,32.0,37.0
circuit109.qasm,0.8535533905932735,22.0,16.0,26.0,20.0,26.0,21.0,17.0,23.0,34.0,45.0
circuit494.qasm,0.8535533905932735,17.0,16.0,16.0,23.0,21.0,29.0,25.0,35.0,25.0,35.0
circuit325.qasm,4.996003610813204e-16,0.0,4.0,4.0,7.0,10.0,9.0,14.0,29.0,20.0,34.0
circuit111.qasm,0.3232233047033634,32.0,34.0,32.0,33.0,41.0,31.0,40.0,37.0,40.0,44.0
circuit382.qasm,0.9999999999999992,0.0,3.0,1.0,7.0,10.0,10.0,24.0,19.0,29.0,40.0
circuit402.qasm,0.7499999999999996,32.0,28.0,26.0,37.0,37.0,27.0,32.0,30.0,39.0,50.0
circuit933.qasm,0.25000000000000067,24.0,27.0,27.0,29.0,31.0,22.0,26.0,30.0,45.0,42.0
circuit672.qasm,0.14644660940672688,17.0,16.0,20.0,13.0,19.0,21.0,29.0,33.0,32.0,37.0
circuit386.qasm,0.6767766952966368,32.0,34.0,34.0,30.0,26.0,32.0,43.0,39.0,40.0,43.0
circuit903.qasm,4.440892098500626e-16,0.0,2.0,6.0,5.0,8.0,5.0,9.0,23.0,23.0,30.0
circuit759.qasm,0.14644660940672682,15.0,28.0,19.0,18.0,23.0,23.0,24.0,21.0,34.0,40.0
circuit081.qasm,0.8535533905932733,14.0,19.0,17.0,29.0,21.0,23.0,20.0,22.0,28.0,30.0
circuit939.qasm,0.14644660940672677,13.0,13.0,17.0,23.0,18.0,19.0,24.0,25.0,29.0,35.0
