,Sampling p(meas = 1),# wrong decisions p0.0005,# wrong decisions p0.001,# wrong decisions p0.0025,# wrong decisions p0.004,# wrong decisions p0.005,# wrong decisions p0.006,# wrong decisions p0.01,# wrong decisions p0.03,# wrong decisions p0.075
circuit000.qasm,0.32322330470336336,35.0,37.0,39.0,43.0,44.0,54.0,50.0,40.0,40.0
circuit813.qasm,0.8535533905932733,10.0,14.0,24.0,30.0,26.0,26.0,39.0,53.0,43.0
circuit604.qasm,0.8535533905932731,15.0,27.0,32.0,32.0,40.0,38.0,48.0,49.0,47.0
circuit997.qasm,0.713388347648318,27.0,32.0,38.0,45.0,41.0,39.0,45.0,55.0,47.0
circuit723.qasm,7.771561172376096e-16,7.0,6.0,11.0,13.0,23.0,27.0,45.0,49.0,55.0
circuit393.qasm,7.771561172376096e-16,4.0,12.0,9.0,25.0,22.0,40.0,50.0,49.0,41.0
circuit585.qasm,0.8535533905932732,21.0,16.0,25.0,43.0,32.0,46.0,38.0,40.0,50.0
circuit856.qasm,0.8535533905932732,21.0,15.0,20.0,37.0,39.0,45.0,48.0,56.0,58.0
circuit151.qasm,0.7499999999999996,30.0,31.0,37.0,44.0,42.0,41.0,44.0,52.0,55.0
circuit458.qasm,0.9999999999999996,2.0,11.0,12.0,29.0,36.0,32.0,43.0,62.0,46.0
circuit083.qasm,0.8535533905932733,18.0,12.0,19.0,27.0,37.0,28.0,37.0,53.0,45.0
circuit336.qasm,0.8017766952966364,29.0,21.0,35.0,41.0,42.0,43.0,50.0,50.0,51.0
circuit465.qasm,0.8535533905932733,17.0,20.0,19.0,29.0,28.0,46.0,29.0,41.0,51.0
circuit347.qasm,0.6767766952966365,32.0,31.0,38.0,43.0,46.0,48.0,50.0,57.0,40.0
circuit258.qasm,0.8901650429449548,8.0,15.0,21.0,30.0,26.0,31.0,30.0,47.0,51.0
circuit379.qasm,6.661338147750939e-16,5.0,10.0,15.0,26.0,31.0,31.0,46.0,55.0,52.0
circuit339.qasm,0.8535533905932733,20.0,21.0,28.0,34.0,45.0,46.0,43.0,59.0,52.0
circuit150.qasm,7.216449660063518e-16,4.0,1.0,12.0,19.0,22.0,21.0,32.0,56.0,47.0
circuit972.qasm,7.216449660063518e-16,0.0,7.0,13.0,19.0,21.0,20.0,39.0,46.0,51.0
circuit677.qasm,0.25000000000000056,31.0,24.0,33.0,37.0,34.0,35.0,42.0,44.0,42.0
circuit340.qasm,4.440892098500626e-16,4.0,4.0,11.0,20.0,28.0,31.0,39.0,52.0,58.0
circuit781.qasm,0.21338834764831882,29.0,23.0,34.0,34.0,45.0,43.0,49.0,47.0,45.0
circuit372.qasm,0.25000000000000033,22.0,27.0,48.0,44.0,47.0,43.0,48.0,45.0,55.0
circuit269.qasm,6.661338147750939e-16,6.0,9.0,14.0,15.0,27.0,38.0,40.0,50.0,49.0
circuit018.qasm,0.6767766952966368,38.0,30.0,38.0,53.0,44.0,45.0,51.0,55.0,50.0
circuit136.qasm,0.9267766952966363,16.0,24.0,25.0,42.0,43.0,44.0,46.0,47.0,47.0
circuit695.qasm,0.07322330470336352,12.0,18.0,25.0,25.0,32.0,37.0,44.0,44.0,48.0
circuit116.qasm,0.14644660940672666,19.0,13.0,22.0,23.0,36.0,26.0,43.0,58.0,47.0
circuit287.qasm,0.8535533905932732,16.0,24.0,27.0,38.0,28.0,40.0,38.0,49.0,53.0
circuit110.qasm,0.7499999999999996,22.0,34.0,42.0,41.0,48.0,44.0,53.0,47.0,55.0
circuit912.qasm,8.326672684688674e-16,4.0,4.0,14.0,23.0,25.0,36.0,32.0,48.0,45.0
circuit109.qasm,0.8535533905932733,18.0,25.0,37.0,48.0,50.0,48.0,51.0,40.0,53.0
circuit494.qasm,0.8535533905932733,20.0,24.0,32.0,37.0,40.0,36.0,43.0,42.0,48.0
circuit325.qasm,5.551115123125783e-16,2.0,5.0,10.0,20.0,30.0,22.0,42.0,52.0,54.0
circuit111.qasm,0.32322330470336336,38.0,39.0,50.0,51.0,52.0,48.0,58.0,48.0,51.0
circuit382.qasm,0.9999999999999993,1.0,7.0,15.0,24.0,14.0,27.0,28.0,49.0,49.0
circuit402.qasm,0.7499999999999996,38.0,35.0,41.0,46.0,49.0,47.0,45.0,40.0,45.0
circuit933.qasm,0.25000000000000067,25.0,24.0,40.0,33.0,37.0,36.0,46.0,54.0,41.0
circuit672.qasm,0.14644660940672688,17.0,17.0,20.0,33.0,31.0,34.0,40.0,45.0,51.0
circuit386.qasm,0.6767766952966368,36.0,31.0,48.0,52.0,49.0,47.0,54.0,44.0,50.0
circuit903.qasm,2.220446049250313e-16,3.0,5.0,6.0,23.0,21.0,24.0,29.0,51.0,50.0
circuit759.qasm,0.14644660940672682,11.0,30.0,37.0,40.0,38.0,40.0,47.0,51.0,57.0
circuit081.qasm,0.8535533905932733,14.0,25.0,21.0,25.0,36.0,31.0,33.0,56.0,44.0
circuit939.qasm,0.1464466094067267,15.0,18.0,35.0,29.0,34.0,35.0,40.0,46.0,49.0
