,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit908.qasm,64,82,0.9999999999999993,1,1
circuit842.qasm,28,83,0.14644660940672666,0,0
circuit146.qasm,33,88,6.106226635438361e-16,0,0
circuit704.qasm,58,84,0.25000000000000044,0,1
circuit984.qasm,41,87,0.14644660940672666,0,0
circuit426.qasm,63,86,0.8535533905932733,1,1
circuit190.qasm,13,79,5.551115123125783e-16,0,0
circuit871.qasm,36,84,6.661338147750939e-16,0,0
circuit188.qasm,31,84,0.1464466094067267,0,0
circuit750.qasm,32,86,2.220446049250313e-16,0,0
circuit328.qasm,65,84,0.8535533905932731,1,1
circuit275.qasm,41,80,0.2500000000000004,0,0
circuit309.qasm,29,82,0.25000000000000033,0,0
circuit513.qasm,37,86,0.2500000000000001,0,0
circuit969.qasm,22,89,2.220446049250313e-16,0,0
circuit583.qasm,54,83,0.7866116523516816,1,1
circuit483.qasm,54,75,0.8535533905932733,1,1
circuit326.qasm,70,86,0.8535533905932732,1,1
circuit319.qasm,30,89,6.106226635438361e-16,0,0
circuit278.qasm,64,84,0.6767766952966366,1,1
circuit706.qasm,33,86,7.771561172376096e-16,0,0
circuit558.qasm,63,89,0.8535533905932733,1,1
circuit358.qasm,49,89,0.8535533905932735,1,0
circuit394.qasm,33,82,2.220446049250313e-16,0,0
circuit682.qasm,70,77,0.9267766952966363,1,1
circuit035.qasm,35,83,2.220446049250313e-16,0,0
circuit503.qasm,44,85,0.2500000000000005,0,0
circuit812.qasm,28,89,0.14644660940672682,0,0
circuit934.qasm,23,82,0.02144660940672699,0,0
circuit660.qasm,27,85,7.771561172376096e-16,0,0
circuit211.qasm,68,87,0.8535533905932731,1,1
circuit540.qasm,40,83,8.326672684688674e-16,0,0
circuit359.qasm,36,89,0.14644660940672688,0,0
circuit001.qasm,63,86,0.8535533905932733,1,1
circuit115.qasm,59,82,0.8535533905932733,1,1
circuit519.qasm,59,84,0.6767766952966365,1,1
circuit978.qasm,54,86,0.7499999999999998,1,1
circuit385.qasm,62,90,0.8535533905932734,1,1
circuit782.qasm,38,86,6.661338147750939e-16,0,0
circuit822.qasm,33,85,0.14644660940672682,0,0
circuit121.qasm,47,86,0.7499999999999994,1,0
circuit091.qasm,51,77,0.3636262177912838,0,1
circuit131.qasm,70,86,0.9267766952966363,1,1
circuit062.qasm,46,89,0.375,0,0
circuit290.qasm,45,83,0.14644660940672655,0,0
circuit644.qasm,23,82,4.996003610813204e-16,0,0
circuit293.qasm,33,83,6.661338147750939e-16,0,0
circuit584.qasm,63,89,0.7499999999999999,1,1
circuit593.qasm,34,77,8.326672684688674e-16,0,0
circuit863.qasm,29,84,8.881784197001252e-16,0,0
circuit602.qasm,73,88,0.9999999999999991,1,1
circuit261.qasm,32,84,8.326672684688674e-16,0,0
circuit791.qasm,32,80,5.551115123125783e-16,0,0
circuit210.qasm,60,79,0.8535533905932731,1,1
circuit366.qasm,43,82,3.3306690738754696e-16,0,0
circuit436.qasm,70,86,0.9267766952966365,1,1
circuit000.qasm,54,82,0.32322330470336336,0,1
circuit813.qasm,74,88,0.8535533905932733,1,1
circuit604.qasm,62,84,0.8535533905932731,1,1
circuit997.qasm,61,79,0.713388347648318,1,1
circuit723.qasm,27,81,7.771561172376096e-16,0,0
circuit393.qasm,40,79,7.771561172376096e-16,0,0
circuit585.qasm,54,83,0.8535533905932732,1,1
circuit856.qasm,55,84,0.8535533905932732,1,1
circuit151.qasm,59,89,0.7499999999999996,1,1
circuit458.qasm,68,85,0.9999999999999996,1,1
circuit083.qasm,72,88,0.8535533905932733,1,1
circuit336.qasm,57,84,0.8017766952966364,1,1
circuit465.qasm,54,82,0.8535533905932733,1,1
circuit347.qasm,52,85,0.6767766952966365,1,1
circuit258.qasm,69,87,0.8901650429449548,1,1
circuit379.qasm,31,85,6.661338147750939e-16,0,0
circuit339.qasm,54,91,0.8535533905932733,1,1
circuit150.qasm,21,87,7.216449660063518e-16,0,0
circuit972.qasm,20,82,7.216449660063518e-16,0,0
circuit677.qasm,35,81,0.25000000000000056,0,0
circuit340.qasm,31,88,4.440892098500626e-16,0,0
circuit781.qasm,43,84,0.21338834764831882,0,0
circuit372.qasm,43,84,0.25000000000000033,0,0
circuit269.qasm,38,86,6.661338147750939e-16,0,0
circuit018.qasm,55,89,0.6767766952966368,1,1
circuit136.qasm,56,75,0.9267766952966363,1,1
circuit695.qasm,37,90,0.07322330470336352,0,0
circuit116.qasm,26,88,0.14644660940672666,0,0
circuit287.qasm,60,84,0.8535533905932732,1,1
circuit110.qasm,56,86,0.7499999999999996,1,1
circuit912.qasm,36,78,8.326672684688674e-16,0,0
circuit109.qasm,52,87,0.8535533905932733,1,1
circuit494.qasm,64,84,0.8535533905932733,1,1
circuit325.qasm,22,82,5.551115123125783e-16,0,0
circuit111.qasm,48,87,0.32322330470336336,0,0
circuit382.qasm,73,85,0.9999999999999993,1,1
circuit402.qasm,53,84,0.7499999999999996,1,1
circuit933.qasm,36,76,0.25000000000000067,0,0
circuit672.qasm,34,77,0.14644660940672688,0,0
circuit386.qasm,53,82,0.6767766952966368,1,1
circuit903.qasm,24,85,2.220446049250313e-16,0,0
circuit759.qasm,40,85,0.14644660940672682,0,0
circuit081.qasm,69,92,0.8535533905932733,1,1
circuit939.qasm,35,85,0.1464466094067267,0,0
