,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit908.qasm,76,74,0.9999999999999993,1,1
circuit842.qasm,32,83,0.14644660940672666,0,0
circuit146.qasm,19,81,6.106226635438361e-16,0,0
circuit704.qasm,35,75,0.25000000000000044,0,0
circuit984.qasm,29,79,0.14644660940672666,0,0
circuit426.qasm,70,77,0.8535533905932733,1,1
circuit190.qasm,25,76,5.551115123125783e-16,0,0
circuit871.qasm,30,81,6.661338147750939e-16,0,0
circuit188.qasm,34,80,0.1464466094067267,0,0
circuit750.qasm,24,80,2.220446049250313e-16,0,0
circuit328.qasm,68,82,0.8535533905932731,1,1
circuit275.qasm,32,78,0.2500000000000004,0,0
circuit309.qasm,35,77,0.25000000000000033,0,0
circuit513.qasm,34,82,0.2500000000000001,0,0
circuit969.qasm,22,83,2.220446049250313e-16,0,0
circuit583.qasm,62,76,0.7866116523516816,1,1
circuit483.qasm,66,78,0.8535533905932733,1,1
circuit326.qasm,59,81,0.8535533905932732,1,1
circuit319.qasm,22,76,6.106226635438361e-16,0,0
circuit278.qasm,61,76,0.6767766952966366,1,1
circuit706.qasm,33,76,7.771561172376096e-16,0,0
circuit558.qasm,58,79,0.8535533905932733,1,1
circuit358.qasm,70,79,0.8535533905932735,1,1
circuit394.qasm,30,85,2.220446049250313e-16,0,0
circuit682.qasm,73,79,0.9267766952966363,1,1
circuit035.qasm,29,85,2.220446049250313e-16,0,0
circuit503.qasm,46,77,0.2500000000000005,0,0
circuit812.qasm,34,88,0.14644660940672682,0,0
circuit934.qasm,26,84,0.02144660940672699,0,0
circuit660.qasm,24,81,7.771561172376096e-16,0,0
circuit211.qasm,63,77,0.8535533905932731,1,1
circuit540.qasm,28,75,8.326672684688674e-16,0,0
circuit359.qasm,45,77,0.14644660940672688,0,0
circuit001.qasm,71,76,0.8535533905932733,1,1
circuit115.qasm,52,76,0.8535533905932733,1,1
circuit519.qasm,60,78,0.6767766952966365,1,1
circuit978.qasm,54,78,0.7499999999999998,1,1
circuit385.qasm,63,83,0.8535533905932734,1,1
circuit782.qasm,40,70,6.661338147750939e-16,0,0
circuit822.qasm,31,84,0.14644660940672682,0,0
circuit121.qasm,45,76,0.7499999999999994,1,0
circuit091.qasm,43,77,0.3636262177912838,0,0
circuit131.qasm,75,76,0.9267766952966363,1,1
circuit062.qasm,58,79,0.375,0,1
circuit290.qasm,47,76,0.14644660940672655,0,0
circuit644.qasm,26,74,4.996003610813204e-16,0,0
circuit293.qasm,18,82,6.661338147750939e-16,0,0
circuit584.qasm,61,80,0.7499999999999999,1,1
circuit593.qasm,33,78,8.326672684688674e-16,0,0
circuit863.qasm,22,70,8.881784197001252e-16,0,0
circuit602.qasm,71,67,0.9999999999999991,1,1
circuit261.qasm,23,73,8.326672684688674e-16,0,0
circuit791.qasm,23,80,5.551115123125783e-16,0,0
circuit210.qasm,55,85,0.8535533905932731,1,1
circuit366.qasm,34,78,3.3306690738754696e-16,0,0
circuit436.qasm,75,80,0.9267766952966365,1,1
circuit000.qasm,44,82,0.32322330470336336,0,0
circuit813.qasm,74,80,0.8535533905932733,1,1
circuit604.qasm,60,78,0.8535533905932731,1,1
circuit997.qasm,59,80,0.713388347648318,1,1
circuit723.qasm,23,72,7.771561172376096e-16,0,0
circuit393.qasm,22,76,7.771561172376096e-16,0,0
circuit585.qasm,68,77,0.8535533905932732,1,1
circuit856.qasm,61,78,0.8535533905932732,1,1
circuit151.qasm,58,76,0.7499999999999996,1,1
circuit458.qasm,64,76,0.9999999999999996,1,1
circuit083.qasm,63,79,0.8535533905932733,1,1
circuit336.qasm,58,83,0.8017766952966364,1,1
circuit465.qasm,72,80,0.8535533905932733,1,1
circuit347.qasm,54,72,0.6767766952966365,1,1
circuit258.qasm,74,79,0.8901650429449548,1,1
circuit379.qasm,31,80,6.661338147750939e-16,0,0
circuit339.qasm,55,75,0.8535533905932733,1,1
circuit150.qasm,22,71,7.216449660063518e-16,0,0
circuit972.qasm,21,73,7.216449660063518e-16,0,0
circuit677.qasm,34,78,0.25000000000000056,0,0
circuit340.qasm,28,80,4.440892098500626e-16,0,0
circuit781.qasm,45,72,0.21338834764831882,0,0
circuit372.qasm,47,74,0.25000000000000033,0,0
circuit269.qasm,27,77,6.661338147750939e-16,0,0
circuit018.qasm,56,74,0.6767766952966368,1,1
circuit136.qasm,57,70,0.9267766952966363,1,1
circuit695.qasm,32,83,0.07322330470336352,0,0
circuit116.qasm,36,85,0.14644660940672666,0,0
circuit287.qasm,72,76,0.8535533905932732,1,1
circuit110.qasm,52,82,0.7499999999999996,1,1
circuit912.qasm,25,72,8.326672684688674e-16,0,0
circuit109.qasm,50,79,0.8535533905932733,1,0
circuit494.qasm,60,78,0.8535533905932733,1,1
circuit325.qasm,30,81,5.551115123125783e-16,0,0
circuit111.qasm,52,73,0.32322330470336336,0,1
circuit382.qasm,86,74,0.9999999999999993,1,1
circuit402.qasm,51,82,0.7499999999999996,1,1
circuit933.qasm,37,78,0.25000000000000067,0,0
circuit672.qasm,31,74,0.14644660940672688,0,0
circuit386.qasm,51,83,0.6767766952966368,1,1
circuit903.qasm,21,74,2.220446049250313e-16,0,0
circuit759.qasm,38,86,0.14644660940672682,0,0
circuit081.qasm,64,78,0.8535533905932733,1,1
circuit939.qasm,34,76,0.1464466094067267,0,0
