,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit908.qasm,73,53,0.9999999999999993,1,1
circuit842.qasm,22,46,0.14644660940672666,0,0
circuit146.qasm,14,56,6.106226635438361e-16,0,0
circuit704.qasm,32,43,0.25000000000000044,0,0
circuit984.qasm,24,47,0.14644660940672666,0,0
circuit426.qasm,72,48,0.8535533905932733,1,1
circuit190.qasm,15,45,5.551115123125783e-16,0,0
circuit871.qasm,16,49,6.661338147750939e-16,0,0
circuit188.qasm,32,53,0.1464466094067267,0,0
circuit750.qasm,15,42,2.220446049250313e-16,0,0
circuit328.qasm,72,46,0.8535533905932731,1,1
circuit275.qasm,29,40,0.2500000000000004,0,0
circuit309.qasm,30,48,0.25000000000000033,0,0
circuit513.qasm,36,42,0.2500000000000001,0,0
circuit969.qasm,11,48,2.220446049250313e-16,0,0
circuit583.qasm,68,42,0.7866116523516816,1,1
circuit483.qasm,68,43,0.8535533905932733,1,1
circuit326.qasm,76,49,0.8535533905932732,1,1
circuit319.qasm,17,45,6.106226635438361e-16,0,0
circuit278.qasm,59,53,0.6767766952966366,1,1
circuit706.qasm,22,52,7.771561172376096e-16,0,0
circuit558.qasm,66,44,0.8535533905932733,1,1
circuit358.qasm,76,54,0.8535533905932735,1,1
circuit394.qasm,23,44,2.220446049250313e-16,0,0
circuit682.qasm,80,30,0.9267766952966363,1,1
circuit035.qasm,19,54,2.220446049250313e-16,0,0
circuit503.qasm,27,54,0.2500000000000005,0,0
circuit812.qasm,27,53,0.14644660940672682,0,0
circuit934.qasm,17,51,0.02144660940672699,0,0
circuit660.qasm,16,45,7.771561172376096e-16,0,0
circuit211.qasm,68,49,0.8535533905932731,1,1
circuit540.qasm,18,52,8.326672684688674e-16,0,0
circuit359.qasm,26,42,0.14644660940672688,0,0
circuit001.qasm,77,51,0.8535533905932733,1,1
circuit115.qasm,64,48,0.8535533905932733,1,1
circuit519.qasm,64,54,0.6767766952966365,1,1
circuit978.qasm,59,49,0.7499999999999998,1,1
circuit385.qasm,73,38,0.8535533905932734,1,1
circuit782.qasm,27,47,6.661338147750939e-16,0,0
circuit822.qasm,17,49,0.14644660940672682,0,0
circuit121.qasm,70,50,0.7499999999999994,1,1
circuit091.qasm,44,43,0.3636262177912838,0,0
circuit131.qasm,79,45,0.9267766952966363,1,1
circuit062.qasm,52,47,0.375,0,1
circuit290.qasm,27,44,0.14644660940672655,0,0
circuit644.qasm,24,46,4.996003610813204e-16,0,0
circuit293.qasm,24,55,6.661338147750939e-16,0,0
circuit584.qasm,72,53,0.7499999999999999,1,1
circuit593.qasm,17,44,8.326672684688674e-16,0,0
circuit863.qasm,14,56,8.881784197001252e-16,0,0
circuit602.qasm,75,45,0.9999999999999991,1,1
circuit261.qasm,15,47,8.326672684688674e-16,0,0
circuit791.qasm,17,49,5.551115123125783e-16,0,0
circuit210.qasm,63,41,0.8535533905932731,1,1
circuit366.qasm,17,45,3.3306690738754696e-16,0,0
circuit436.qasm,83,48,0.9267766952966365,1,1
circuit000.qasm,46,52,0.32322330470336336,0,0
circuit813.qasm,75,41,0.8535533905932733,1,1
circuit604.qasm,64,39,0.8535533905932731,1,1
circuit997.qasm,68,54,0.713388347648318,1,1
circuit723.qasm,25,50,7.771561172376096e-16,0,0
circuit393.qasm,15,51,7.771561172376096e-16,0,0
circuit585.qasm,82,45,0.8535533905932732,1,1
circuit856.qasm,75,58,0.8535533905932732,1,1
circuit151.qasm,63,39,0.7499999999999996,1,1
circuit458.qasm,79,52,0.9999999999999996,1,1
circuit083.qasm,74,34,0.8535533905932733,1,1
circuit336.qasm,72,39,0.8017766952966364,1,1
circuit465.qasm,81,45,0.8535533905932733,1,1
circuit347.qasm,54,41,0.6767766952966365,1,1
circuit258.qasm,83,45,0.8901650429449548,1,1
circuit379.qasm,23,42,6.661338147750939e-16,0,0
circuit339.qasm,72,55,0.8535533905932733,1,1
circuit150.qasm,18,45,7.216449660063518e-16,0,0
circuit972.qasm,19,51,7.216449660063518e-16,0,0
circuit677.qasm,29,36,0.25000000000000056,0,0
circuit340.qasm,10,36,4.440892098500626e-16,0,0
circuit781.qasm,37,41,0.21338834764831882,0,0
circuit372.qasm,38,42,0.25000000000000033,0,0
circuit269.qasm,24,54,6.661338147750939e-16,0,0
circuit018.qasm,65,45,0.6767766952966368,1,1
circuit136.qasm,68,42,0.9267766952966363,1,1
circuit695.qasm,23,43,0.07322330470336352,0,0
circuit116.qasm,30,47,0.14644660940672666,0,0
circuit287.qasm,79,55,0.8535533905932732,1,1
circuit110.qasm,67,35,0.7499999999999996,1,1
circuit912.qasm,21,47,8.326672684688674e-16,0,0
circuit109.qasm,70,52,0.8535533905932733,1,1
circuit494.qasm,73,55,0.8535533905932733,1,1
circuit325.qasm,10,52,5.551115123125783e-16,0,0
circuit111.qasm,40,51,0.32322330470336336,0,0
circuit382.qasm,91,57,0.9999999999999993,1,1
circuit402.qasm,60,43,0.7499999999999996,1,1
circuit933.qasm,36,44,0.25000000000000067,0,0
circuit672.qasm,32,51,0.14644660940672688,0,0
circuit386.qasm,53,40,0.6767766952966368,1,1
circuit903.qasm,22,47,2.220446049250313e-16,0,0
circuit759.qasm,25,49,0.14644660940672682,0,0
circuit081.qasm,76,46,0.8535533905932733,1,1
circuit939.qasm,26,50,0.1464466094067267,0,0
