,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit908.qasm,88,24,0.9999999999999993,1,1
circuit842.qasm,14,21,0.14644660940672666,0,0
circuit146.qasm,3,20,6.106226635438361e-16,0,0
circuit704.qasm,27,19,0.25000000000000044,0,0
circuit984.qasm,19,20,0.14644660940672666,0,0
circuit426.qasm,80,18,0.8535533905932733,1,1
circuit190.qasm,9,10,5.551115123125783e-16,0,0
circuit871.qasm,10,19,6.661338147750939e-16,0,0
circuit188.qasm,24,23,0.1464466094067267,0,0
circuit750.qasm,4,18,2.220446049250313e-16,0,0
circuit328.qasm,85,16,0.8535533905932731,1,1
circuit275.qasm,25,15,0.2500000000000004,0,0
circuit309.qasm,29,18,0.25000000000000033,0,0
circuit513.qasm,28,22,0.2500000000000001,0,0
circuit969.qasm,6,23,2.220446049250313e-16,0,0
circuit583.qasm,75,18,0.7866116523516816,1,1
circuit483.qasm,82,15,0.8535533905932733,1,1
circuit326.qasm,85,29,0.8535533905932732,1,1
circuit319.qasm,6,30,6.106226635438361e-16,0,0
circuit278.qasm,61,16,0.6767766952966366,1,1
circuit706.qasm,12,20,7.771561172376096e-16,0,0
circuit558.qasm,81,13,0.8535533905932733,1,1
circuit358.qasm,81,19,0.8535533905932735,1,1
circuit394.qasm,9,30,2.220446049250313e-16,0,0
circuit682.qasm,82,13,0.9267766952966363,1,1
circuit035.qasm,3,16,2.220446049250313e-16,0,0
circuit503.qasm,26,18,0.2500000000000005,0,0
circuit812.qasm,27,25,0.14644660940672682,0,0
circuit934.qasm,6,17,0.02144660940672699,0,0
circuit660.qasm,4,25,7.771561172376096e-16,0,0
circuit211.qasm,79,11,0.8535533905932731,1,1
circuit540.qasm,11,13,8.326672684688674e-16,0,0
circuit359.qasm,18,17,0.14644660940672688,0,0
circuit001.qasm,78,18,0.8535533905932733,1,1
circuit115.qasm,82,20,0.8535533905932733,1,1
circuit519.qasm,62,12,0.6767766952966365,1,1
circuit978.qasm,77,23,0.7499999999999998,1,1
circuit385.qasm,78,15,0.8535533905932734,1,1
circuit782.qasm,6,19,6.661338147750939e-16,0,0
circuit822.qasm,20,21,0.14644660940672682,0,0
circuit121.qasm,75,18,0.7499999999999994,1,1
circuit091.qasm,40,22,0.3636262177912838,0,0
circuit131.qasm,86,21,0.9267766952966363,1,1
circuit062.qasm,29,26,0.375,0,0
circuit290.qasm,24,14,0.14644660940672655,0,0
circuit644.qasm,3,20,4.996003610813204e-16,0,0
circuit293.qasm,10,25,6.661338147750939e-16,0,0
circuit584.qasm,68,22,0.7499999999999999,1,1
circuit593.qasm,10,9,8.326672684688674e-16,0,0
circuit863.qasm,3,22,8.881784197001252e-16,0,0
circuit602.qasm,92,21,0.9999999999999991,1,1
circuit261.qasm,12,26,8.326672684688674e-16,0,0
circuit791.qasm,2,19,5.551115123125783e-16,0,0
circuit210.qasm,76,13,0.8535533905932731,1,1
circuit366.qasm,7,19,3.3306690738754696e-16,0,0
circuit436.qasm,92,21,0.9267766952966365,1,1
circuit000.qasm,32,18,0.32322330470336336,0,0
circuit813.qasm,81,11,0.8535533905932733,1,1
circuit604.qasm,80,20,0.8535533905932731,1,1
circuit997.qasm,68,19,0.713388347648318,1,1
circuit723.qasm,7,18,7.771561172376096e-16,0,0
circuit393.qasm,11,12,7.771561172376096e-16,0,0
circuit585.qasm,75,20,0.8535533905932732,1,1
circuit856.qasm,77,20,0.8535533905932732,1,1
circuit151.qasm,67,19,0.7499999999999996,1,1
circuit458.qasm,92,16,0.9999999999999996,1,1
circuit083.qasm,80,19,0.8535533905932733,1,1
circuit336.qasm,74,25,0.8017766952966364,1,1
circuit465.qasm,81,20,0.8535533905932733,1,1
circuit347.qasm,61,12,0.6767766952966365,1,1
circuit258.qasm,82,23,0.8901650429449548,1,1
circuit379.qasm,7,12,6.661338147750939e-16,0,0
circuit339.qasm,83,19,0.8535533905932733,1,1
circuit150.qasm,9,14,7.216449660063518e-16,0,0
circuit972.qasm,3,14,7.216449660063518e-16,0,0
circuit677.qasm,36,16,0.25000000000000056,0,0
circuit340.qasm,9,27,4.440892098500626e-16,0,0
circuit781.qasm,23,21,0.21338834764831882,0,0
circuit372.qasm,35,20,0.25000000000000033,0,0
circuit269.qasm,9,17,6.661338147750939e-16,0,0
circuit018.qasm,65,20,0.6767766952966368,1,1
circuit136.qasm,83,25,0.9267766952966363,1,1
circuit695.qasm,19,24,0.07322330470336352,0,0
circuit116.qasm,22,23,0.14644660940672666,0,0
circuit287.qasm,78,21,0.8535533905932732,1,1
circuit110.qasm,66,23,0.7499999999999996,1,1
circuit912.qasm,4,16,8.326672684688674e-16,0,0
circuit109.qasm,79,19,0.8535533905932733,1,1
circuit494.qasm,80,23,0.8535533905932733,1,1
circuit325.qasm,6,17,5.551115123125783e-16,0,0
circuit111.qasm,36,15,0.32322330470336336,0,0
circuit382.qasm,93,23,0.9999999999999993,1,1
circuit402.qasm,64,19,0.7499999999999996,1,1
circuit933.qasm,29,17,0.25000000000000067,0,0
circuit672.qasm,14,15,0.14644660940672688,0,0
circuit386.qasm,65,18,0.6767766952966368,1,1
circuit903.qasm,8,18,2.220446049250313e-16,0,0
circuit759.qasm,16,21,0.14644660940672682,0,0
circuit081.qasm,84,20,0.8535533905932733,1,1
circuit939.qasm,16,18,0.1464466094067267,0,0
