,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit908.qasm,67,62,0.9999999999999993,1,1
circuit842.qasm,29,63,0.14644660940672666,0,0
circuit146.qasm,15,68,6.106226635438361e-16,0,0
circuit704.qasm,33,68,0.25000000000000044,0,0
circuit984.qasm,34,71,0.14644660940672666,0,0
circuit426.qasm,70,71,0.8535533905932733,1,1
circuit190.qasm,25,69,5.551115123125783e-16,0,0
circuit871.qasm,29,59,6.661338147750939e-16,0,0
circuit188.qasm,35,67,0.1464466094067267,0,0
circuit750.qasm,18,68,2.220446049250313e-16,0,0
circuit328.qasm,71,64,0.8535533905932731,1,1
circuit275.qasm,34,65,0.2500000000000004,0,0
circuit309.qasm,32,63,0.25000000000000033,0,0
circuit513.qasm,37,69,0.2500000000000001,0,0
circuit969.qasm,20,70,2.220446049250313e-16,0,0
circuit583.qasm,65,65,0.7866116523516816,1,1
circuit483.qasm,62,64,0.8535533905932733,1,1
circuit326.qasm,72,50,0.8535533905932732,1,1
circuit319.qasm,20,64,6.106226635438361e-16,0,0
circuit278.qasm,68,58,0.6767766952966366,1,1
circuit706.qasm,31,63,7.771561172376096e-16,0,0
circuit558.qasm,58,68,0.8535533905932733,1,1
circuit358.qasm,63,62,0.8535533905932735,1,1
circuit394.qasm,25,66,2.220446049250313e-16,0,0
circuit682.qasm,78,67,0.9267766952966363,1,1
circuit035.qasm,26,63,2.220446049250313e-16,0,0
circuit503.qasm,32,60,0.2500000000000005,0,0
circuit812.qasm,37,64,0.14644660940672682,0,0
circuit934.qasm,28,66,0.02144660940672699,0,0
circuit660.qasm,34,67,7.771561172376096e-16,0,0
circuit211.qasm,67,73,0.8535533905932731,1,1
circuit540.qasm,36,61,8.326672684688674e-16,0,0
circuit359.qasm,36,70,0.14644660940672688,0,0
circuit001.qasm,72,69,0.8535533905932733,1,1
circuit115.qasm,63,67,0.8535533905932733,1,1
circuit519.qasm,49,66,0.6767766952966365,1,0
circuit978.qasm,55,64,0.7499999999999998,1,1
circuit385.qasm,65,72,0.8535533905932734,1,1
circuit782.qasm,39,69,6.661338147750939e-16,0,0
circuit822.qasm,26,62,0.14644660940672682,0,0
circuit121.qasm,55,65,0.7499999999999994,1,1
circuit091.qasm,42,57,0.3636262177912838,0,0
circuit131.qasm,73,67,0.9267766952966363,1,1
circuit062.qasm,44,65,0.375,0,0
circuit290.qasm,43,66,0.14644660940672655,0,0
circuit644.qasm,31,66,4.996003610813204e-16,0,0
circuit293.qasm,24,61,6.661338147750939e-16,0,0
circuit584.qasm,64,69,0.7499999999999999,1,1
circuit593.qasm,33,69,8.326672684688674e-16,0,0
circuit863.qasm,22,64,8.881784197001252e-16,0,0
circuit602.qasm,79,64,0.9999999999999991,1,1
circuit261.qasm,34,65,8.326672684688674e-16,0,0
circuit791.qasm,25,63,5.551115123125783e-16,0,0
circuit210.qasm,71,68,0.8535533905932731,1,1
circuit366.qasm,39,67,3.3306690738754696e-16,0,0
circuit436.qasm,79,64,0.9267766952966365,1,1
circuit000.qasm,38,62,0.32322330470336336,0,0
circuit813.qasm,62,64,0.8535533905932733,1,1
circuit604.qasm,62,58,0.8535533905932731,1,1
circuit997.qasm,59,62,0.713388347648318,1,1
circuit723.qasm,23,66,7.771561172376096e-16,0,0
circuit393.qasm,25,61,7.771561172376096e-16,0,0
circuit585.qasm,70,56,0.8535533905932732,1,1
circuit856.qasm,50,61,0.8535533905932732,1,0
circuit151.qasm,58,64,0.7499999999999996,1,1
circuit458.qasm,70,71,0.9999999999999996,1,1
circuit083.qasm,73,65,0.8535533905932733,1,1
circuit336.qasm,53,60,0.8017766952966364,1,1
circuit465.qasm,68,77,0.8535533905932733,1,1
circuit347.qasm,56,57,0.6767766952966365,1,1
circuit258.qasm,73,67,0.8901650429449548,1,1
circuit379.qasm,21,62,6.661338147750939e-16,0,0
circuit339.qasm,61,58,0.8535533905932733,1,1
circuit150.qasm,22,67,7.216449660063518e-16,0,0
circuit972.qasm,27,66,7.216449660063518e-16,0,0
circuit677.qasm,56,69,0.25000000000000056,0,1
circuit340.qasm,29,59,4.440892098500626e-16,0,0
circuit781.qasm,42,70,0.21338834764831882,0,0
circuit372.qasm,44,63,0.25000000000000033,0,0
circuit269.qasm,25,68,6.661338147750939e-16,0,0
circuit018.qasm,54,57,0.6767766952966368,1,1
circuit136.qasm,71,62,0.9267766952966363,1,1
circuit695.qasm,32,68,0.07322330470336352,0,0
circuit116.qasm,31,70,0.14644660940672666,0,0
circuit287.qasm,76,65,0.8535533905932732,1,1
circuit110.qasm,58,66,0.7499999999999996,1,1
circuit912.qasm,26,66,8.326672684688674e-16,0,0
circuit109.qasm,59,74,0.8535533905932733,1,1
circuit494.qasm,67,65,0.8535533905932733,1,1
circuit325.qasm,26,69,5.551115123125783e-16,0,0
circuit111.qasm,42,64,0.32322330470336336,0,0
circuit382.qasm,81,69,0.9999999999999993,1,1
circuit402.qasm,62,68,0.7499999999999996,1,1
circuit933.qasm,40,63,0.25000000000000067,0,0
circuit672.qasm,26,77,0.14644660940672688,0,0
circuit386.qasm,55,55,0.6767766952966368,1,1
circuit903.qasm,24,64,2.220446049250313e-16,0,0
circuit759.qasm,49,66,0.14644660940672682,0,0
circuit081.qasm,75,65,0.8535533905932733,1,1
circuit939.qasm,30,65,0.1464466094067267,0,0
