,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit908.qasm,91,33,0.9999999999999993,1,1
circuit842.qasm,19,37,0.14644660940672666,0,0
circuit146.qasm,12,33,6.106226635438361e-16,0,0
circuit704.qasm,42,35,0.25000000000000044,0,0
circuit984.qasm,22,30,0.14644660940672666,0,0
circuit426.qasm,90,38,0.8535533905932733,1,1
circuit190.qasm,14,28,5.551115123125783e-16,0,0
circuit871.qasm,11,39,6.661338147750939e-16,0,0
circuit188.qasm,19,37,0.1464466094067267,0,0
circuit750.qasm,8,34,2.220446049250313e-16,0,0
circuit328.qasm,78,35,0.8535533905932731,1,1
circuit275.qasm,35,35,0.2500000000000004,0,0
circuit309.qasm,26,35,0.25000000000000033,0,0
circuit513.qasm,28,38,0.2500000000000001,0,0
circuit969.qasm,17,29,2.220446049250313e-16,0,0
circuit583.qasm,70,29,0.7866116523516816,1,1
circuit483.qasm,73,38,0.8535533905932733,1,1
circuit326.qasm,80,35,0.8535533905932732,1,1
circuit319.qasm,8,38,6.106226635438361e-16,0,0
circuit278.qasm,64,29,0.6767766952966366,1,1
circuit706.qasm,12,38,7.771561172376096e-16,0,0
circuit558.qasm,71,40,0.8535533905932733,1,1
circuit358.qasm,73,40,0.8535533905932735,1,1
circuit394.qasm,6,42,2.220446049250313e-16,0,0
circuit682.qasm,87,38,0.9267766952966363,1,1
circuit035.qasm,9,39,2.220446049250313e-16,0,0
circuit503.qasm,27,35,0.2500000000000005,0,0
circuit812.qasm,31,37,0.14644660940672682,0,0
circuit934.qasm,9,43,0.02144660940672699,0,0
circuit660.qasm,6,28,7.771561172376096e-16,0,0
circuit211.qasm,79,34,0.8535533905932731,1,1
circuit540.qasm,11,37,8.326672684688674e-16,0,0
circuit359.qasm,20,39,0.14644660940672688,0,0
circuit001.qasm,82,37,0.8535533905932733,1,1
circuit115.qasm,67,36,0.8535533905932733,1,1
circuit519.qasm,74,46,0.6767766952966365,1,1
circuit978.qasm,62,30,0.7499999999999998,1,1
circuit385.qasm,76,35,0.8535533905932734,1,1
circuit782.qasm,19,41,6.661338147750939e-16,0,0
circuit822.qasm,25,38,0.14644660940672682,0,0
circuit121.qasm,60,29,0.7499999999999994,1,1
circuit091.qasm,40,37,0.3636262177912838,0,0
circuit131.qasm,83,42,0.9267766952966363,1,1
circuit062.qasm,42,34,0.375,0,0
circuit290.qasm,31,38,0.14644660940672655,0,0
circuit644.qasm,12,32,4.996003610813204e-16,0,0
circuit293.qasm,10,30,6.661338147750939e-16,0,0
circuit584.qasm,80,34,0.7499999999999999,1,1
circuit593.qasm,10,35,8.326672684688674e-16,0,0
circuit863.qasm,7,46,8.881784197001252e-16,0,0
circuit602.qasm,91,35,0.9999999999999991,1,1
circuit261.qasm,6,35,8.326672684688674e-16,0,0
circuit791.qasm,9,35,5.551115123125783e-16,0,0
circuit210.qasm,73,27,0.8535533905932731,1,1
circuit366.qasm,16,36,3.3306690738754696e-16,0,0
circuit436.qasm,84,33,0.9267766952966365,1,1
circuit000.qasm,25,33,0.32322330470336336,0,0
circuit813.qasm,77,33,0.8535533905932733,1,1
circuit604.qasm,67,39,0.8535533905932731,1,1
circuit997.qasm,66,38,0.713388347648318,1,1
circuit723.qasm,9,35,7.771561172376096e-16,0,0
circuit393.qasm,12,28,7.771561172376096e-16,0,0
circuit585.qasm,84,49,0.8535533905932732,1,1
circuit856.qasm,71,41,0.8535533905932732,1,1
circuit151.qasm,62,36,0.7499999999999996,1,1
circuit458.qasm,85,31,0.9999999999999996,1,1
circuit083.qasm,77,35,0.8535533905932733,1,1
circuit336.qasm,72,32,0.8017766952966364,1,1
circuit465.qasm,83,27,0.8535533905932733,1,1
circuit347.qasm,61,35,0.6767766952966365,1,1
circuit258.qasm,85,34,0.8901650429449548,1,1
circuit379.qasm,8,27,6.661338147750939e-16,0,0
circuit339.qasm,74,32,0.8535533905932733,1,1
circuit150.qasm,7,28,7.216449660063518e-16,0,0
circuit972.qasm,2,30,7.216449660063518e-16,0,0
circuit677.qasm,25,36,0.25000000000000056,0,0
circuit340.qasm,4,28,4.440892098500626e-16,0,0
circuit781.qasm,21,29,0.21338834764831882,0,0
circuit372.qasm,29,37,0.25000000000000033,0,0
circuit269.qasm,11,36,6.661338147750939e-16,0,0
circuit018.qasm,63,37,0.6767766952966368,1,1
circuit136.qasm,73,35,0.9267766952966363,1,1
circuit695.qasm,19,27,0.07322330470336352,0,0
circuit116.qasm,19,28,0.14644660940672666,0,0
circuit287.qasm,74,29,0.8535533905932732,1,1
circuit110.qasm,69,39,0.7499999999999996,1,1
circuit912.qasm,9,40,8.326672684688674e-16,0,0
circuit109.qasm,67,45,0.8535533905932733,1,1
circuit494.qasm,80,37,0.8535533905932733,1,1
circuit325.qasm,9,35,5.551115123125783e-16,0,0
circuit111.qasm,52,37,0.32322330470336336,0,1
circuit382.qasm,96,30,0.9999999999999993,1,1
circuit402.qasm,78,37,0.7499999999999996,1,1
circuit933.qasm,15,34,0.25000000000000067,0,0
circuit672.qasm,23,28,0.14644660940672688,0,0
circuit386.qasm,59,16,0.6767766952966368,1,1
circuit903.qasm,8,36,2.220446049250313e-16,0,0
circuit759.qasm,34,31,0.14644660940672682,0,0
circuit081.qasm,74,43,0.8535533905932733,1,1
circuit939.qasm,16,38,0.1464466094067267,0,0
