,Sampling p(meas = 1),# wrong decisions p0.01,# wrong decisions p0.05,# wrong decisions p0.1,# wrong decisions p0.15,# wrong decisions p0.18,# wrong decisions p0.2,# wrong decisions p0.3,# wrong decisions p0.5,# wrong decisions p0.7
circuit358.qasm,0.8535533905932735,15.0,12.0,15.0,16.0,17.0,20.0,15.0,27.0,27.0
circuit394.qasm,2.220446049250313e-16,0.0,0.0,2.0,1.0,4.0,6.0,4.0,6.0,6.0
circuit682.qasm,0.9267766952966363,12.0,10.0,7.0,14.0,6.0,5.0,13.0,14.0,13.0
circuit035.qasm,2.220446049250313e-16,0.0,1.0,1.0,1.0,1.0,5.0,10.0,12.0,9.0
circuit503.qasm,0.2500000000000005,28.0,20.0,28.0,25.0,23.0,29.0,31.0,30.0,27.0
circuit812.qasm,0.14644660940672682,24.0,14.0,15.0,13.0,14.0,12.0,19.0,23.0,31.0
circuit934.qasm,0.02144660940672699,2.0,1.0,3.0,6.0,6.0,8.0,6.0,13.0,9.0
circuit660.qasm,7.771561172376096e-16,0.0,0.0,2.0,1.0,1.0,1.0,2.0,4.0,6.0
circuit211.qasm,0.8535533905932731,13.0,11.0,18.0,17.0,6.0,16.0,12.0,16.0,21.0
circuit540.qasm,8.326672684688674e-16,0.0,2.0,2.0,4.0,5.0,1.0,7.0,16.0,11.0
circuit359.qasm,0.14644660940672688,14.0,11.0,15.0,17.0,22.0,13.0,10.0,14.0,20.0
circuit001.qasm,0.8535533905932733,19.0,12.0,17.0,18.0,14.0,23.0,15.0,12.0,18.0
circuit115.qasm,0.8535533905932733,8.0,17.0,15.0,12.0,22.0,24.0,23.0,23.0,33.0
circuit519.qasm,0.6767766952966365,30.0,41.0,30.0,37.0,44.0,23.0,32.0,31.0,26.0
circuit978.qasm,0.7499999999999998,21.0,30.0,27.0,32.0,19.0,15.0,20.0,35.0,38.0
circuit385.qasm,0.8535533905932734,16.0,13.0,18.0,15.0,16.0,15.0,24.0,26.0,24.0
circuit782.qasm,6.661338147750939e-16,0.0,1.0,4.0,1.0,6.0,5.0,8.0,18.0,19.0
circuit822.qasm,0.14644660940672682,16.0,18.0,16.0,17.0,20.0,17.0,18.0,26.0,25.0
circuit121.qasm,0.7499999999999994,17.0,26.0,20.0,25.0,33.0,25.0,30.0,34.0,40.0
circuit091.qasm,0.3636262177912838,41.0,42.0,34.0,41.0,42.0,38.0,35.0,45.0,40.0
circuit131.qasm,0.9267766952966363,7.0,8.0,12.0,7.0,14.0,11.0,12.0,10.0,17.0
circuit062.qasm,0.375,46.0,36.0,37.0,37.0,38.0,40.0,44.0,49.0,42.0
circuit290.qasm,0.14644660940672655,15.0,15.0,17.0,26.0,17.0,19.0,17.0,32.0,31.0
circuit644.qasm,4.996003610813204e-16,1.0,2.0,4.0,0.0,2.0,3.0,1.0,7.0,12.0
circuit293.qasm,6.661338147750939e-16,0.0,2.0,3.0,2.0,2.0,1.0,4.0,7.0,10.0
circuit584.qasm,0.7499999999999999,22.0,30.0,26.0,27.0,28.0,31.0,31.0,32.0,20.0
circuit593.qasm,8.326672684688674e-16,1.0,1.0,0.0,5.0,6.0,1.0,11.0,16.0,10.0
circuit863.qasm,8.881784197001252e-16,1.0,0.0,0.0,3.0,1.0,4.0,6.0,3.0,7.0
circuit602.qasm,0.9999999999999991,0.0,0.0,1.0,3.0,4.0,4.0,3.0,10.0,9.0
circuit261.qasm,8.326672684688674e-16,1.0,1.0,3.0,4.0,3.0,2.0,7.0,9.0,6.0
circuit791.qasm,5.551115123125783e-16,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,9.0
circuit210.qasm,0.8535533905932731,12.0,18.0,24.0,17.0,19.0,18.0,26.0,22.0,27.0
circuit366.qasm,3.3306690738754696e-16,0.0,1.0,2.0,3.0,7.0,2.0,10.0,12.0,16.0
circuit436.qasm,0.9267766952966365,10.0,5.0,8.0,5.0,7.0,8.0,9.0,20.0,16.0
circuit000.qasm,0.32322330470336336,28.0,37.0,29.0,31.0,40.0,35.0,33.0,29.0,25.0
circuit813.qasm,0.8535533905932733,6.0,12.0,23.0,18.0,23.0,11.0,14.0,15.0,23.0
circuit604.qasm,0.8535533905932731,12.0,21.0,15.0,23.0,22.0,18.0,19.0,23.0,33.0
circuit997.qasm,0.713388347648318,27.0,35.0,25.0,37.0,33.0,33.0,36.0,40.0,34.0
circuit723.qasm,7.771561172376096e-16,0.0,1.0,1.0,2.0,0.0,5.0,7.0,2.0,9.0
circuit393.qasm,7.771561172376096e-16,0.0,1.0,3.0,2.0,3.0,3.0,3.0,8.0,12.0
circuit585.qasm,0.8535533905932732,11.0,13.0,10.0,10.0,19.0,12.0,19.0,22.0,16.0
circuit856.qasm,0.8535533905932732,16.0,12.0,14.0,9.0,16.0,25.0,18.0,24.0,29.0
circuit151.qasm,0.7499999999999996,23.0,20.0,33.0,33.0,22.0,22.0,30.0,32.0,38.0
circuit458.qasm,0.9999999999999996,0.0,0.0,0.0,0.0,2.0,2.0,4.0,6.0,15.0
circuit083.qasm,0.8535533905932733,13.0,14.0,20.0,22.0,13.0,15.0,14.0,20.0,23.0
circuit336.qasm,0.8017766952966364,18.0,16.0,16.0,23.0,19.0,23.0,28.0,26.0,28.0
circuit465.qasm,0.8535533905932733,7.0,19.0,19.0,18.0,19.0,14.0,14.0,23.0,17.0
circuit347.qasm,0.6767766952966365,29.0,30.0,32.0,33.0,42.0,34.0,33.0,34.0,39.0
circuit258.qasm,0.8901650429449548,10.0,10.0,11.0,13.0,8.0,14.0,10.0,20.0,15.0
circuit379.qasm,6.661338147750939e-16,0.0,3.0,0.0,2.0,1.0,3.0,4.0,4.0,8.0
circuit339.qasm,0.8535533905932733,14.0,16.0,20.0,17.0,18.0,14.0,14.0,22.0,26.0
circuit150.qasm,7.216449660063518e-16,0.0,2.0,1.0,1.0,1.0,3.0,3.0,6.0,7.0
circuit972.qasm,7.216449660063518e-16,0.0,0.0,2.0,2.0,1.0,1.0,4.0,11.0,2.0
circuit677.qasm,0.25000000000000056,20.0,26.0,31.0,29.0,21.0,29.0,28.0,24.0,25.0
circuit340.qasm,4.440892098500626e-16,0.0,1.0,0.0,1.0,4.0,5.0,6.0,6.0,4.0
circuit781.qasm,0.21338834764831882,24.0,27.0,23.0,25.0,17.0,21.0,28.0,18.0,21.0
circuit372.qasm,0.25000000000000033,19.0,20.0,23.0,26.0,29.0,35.0,19.0,28.0,29.0
circuit269.qasm,6.661338147750939e-16,0.0,3.0,0.0,2.0,6.0,3.0,3.0,10.0,11.0
circuit018.qasm,0.6767766952966368,32.0,34.0,33.0,31.0,31.0,27.0,36.0,36.0,37.0
circuit136.qasm,0.9267766952966363,9.0,10.0,8.0,8.0,14.0,13.0,18.0,15.0,27.0
circuit695.qasm,0.07322330470336352,6.0,4.0,6.0,7.0,12.0,8.0,18.0,15.0,19.0
circuit116.qasm,0.14644660940672666,11.0,16.0,16.0,17.0,17.0,15.0,10.0,20.0,19.0
circuit287.qasm,0.8535533905932732,15.0,18.0,14.0,16.0,15.0,17.0,17.0,14.0,26.0
circuit110.qasm,0.7499999999999996,30.0,22.0,30.0,26.0,30.0,26.0,30.0,34.0,31.0
circuit912.qasm,8.326672684688674e-16,0.0,0.0,1.0,1.0,3.0,1.0,2.0,8.0,9.0
circuit109.qasm,0.8535533905932733,16.0,20.0,23.0,14.0,19.0,20.0,16.0,30.0,33.0
circuit494.qasm,0.8535533905932733,12.0,19.0,19.0,17.0,17.0,16.0,17.0,20.0,20.0
circuit325.qasm,5.551115123125783e-16,0.0,1.0,2.0,0.0,2.0,6.0,5.0,4.0,9.0
circuit111.qasm,0.32322330470336336,30.0,41.0,26.0,30.0,38.0,36.0,38.0,37.0,52.0
circuit382.qasm,0.9999999999999993,0.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0
circuit402.qasm,0.7499999999999996,29.0,15.0,25.0,28.0,28.0,27.0,24.0,36.0,22.0
circuit933.qasm,0.25000000000000067,32.0,27.0,16.0,26.0,24.0,29.0,33.0,29.0,15.0
circuit672.qasm,0.14644660940672688,15.0,11.0,13.0,19.0,16.0,16.0,15.0,19.0,23.0
circuit386.qasm,0.6767766952966368,39.0,32.0,27.0,33.0,32.0,37.0,40.0,36.0,41.0
circuit903.qasm,2.220446049250313e-16,0.0,0.0,1.0,4.0,1.0,4.0,1.0,5.0,8.0
circuit759.qasm,0.14644660940672682,11.0,23.0,24.0,17.0,14.0,10.0,25.0,25.0,34.0
circuit081.qasm,0.8535533905932733,12.0,14.0,12.0,13.0,12.0,18.0,16.0,26.0,26.0
circuit939.qasm,0.1464466094067267,16.0,20.0,17.0,13.0,17.0,18.0,18.0,18.0,16.0
