,Sampling p(meas = 1),# wrong decisions p0.5
circuit908.qasm,0.9999999999999994,31.0
circuit842.qasm,0.1464466094067267,32.0
circuit146.qasm,6.661338147750939e-16,21.0
circuit704.qasm,0.25000000000000044,34.0
circuit984.qasm,0.14644660940672666,40.0
circuit426.qasm,0.8535533905932733,33.0
circuit190.qasm,5.551115123125783e-16,27.0
circuit871.qasm,4.996003610813204e-16,24.0
circuit188.qasm,0.14644660940672666,35.0
circuit750.qasm,4.440892098500626e-16,25.0
circuit328.qasm,0.8535533905932731,23.0
circuit275.qasm,0.25000000000000044,27.0
circuit309.qasm,0.2500000000000004,47.0
circuit513.qasm,0.2500000000000001,43.0
circuit969.qasm,3.885780586188048e-16,26.0
circuit583.qasm,0.7866116523516815,36.0
circuit483.qasm,0.8535533905932733,31.0
circuit326.qasm,0.8535533905932733,34.0
circuit319.qasm,7.216449660063518e-16,21.0
circuit278.qasm,0.6767766952966365,44.0
circuit706.qasm,6.661338147750939e-16,27.0
circuit558.qasm,0.8535533905932733,47.0
circuit358.qasm,0.8535533905932734,41.0
circuit394.qasm,4.440892098500626e-16,22.0
circuit682.qasm,0.9267766952966362,23.0
circuit035.qasm,4.440892098500626e-16,33.0
circuit503.qasm,0.25000000000000044,37.0
circuit812.qasm,0.14644660940672688,22.0
circuit934.qasm,0.02144660940672699,22.0
circuit660.qasm,7.771561172376096e-16,24.0
circuit211.qasm,0.8535533905932731,34.0
circuit540.qasm,7.771561172376096e-16,26.0
circuit359.qasm,0.14644660940672682,30.0
circuit001.qasm,0.8535533905932733,42.0
circuit115.qasm,0.8535533905932733,36.0
circuit519.qasm,0.6767766952966365,35.0
circuit978.qasm,0.7499999999999998,46.0
circuit385.qasm,0.8535533905932735,32.0
circuit782.qasm,6.661338147750939e-16,19.0
circuit822.qasm,0.1464466094067267,38.0
circuit121.qasm,0.7499999999999996,40.0
circuit091.qasm,0.3636262177912838,45.0
circuit131.qasm,0.9267766952966361,28.0
circuit062.qasm,0.375,36.0
circuit290.qasm,0.1464466094067265,27.0
circuit644.qasm,5.551115123125783e-16,29.0
circuit293.qasm,6.106226635438361e-16,18.0
circuit584.qasm,0.7499999999999999,34.0
circuit593.qasm,7.771561172376096e-16,32.0
circuit863.qasm,8.881784197001252e-16,25.0
circuit602.qasm,0.9999999999999992,22.0
circuit261.qasm,7.771561172376096e-16,19.0
circuit791.qasm,5.551115123125783e-16,26.0
circuit210.qasm,0.8535533905932733,34.0
circuit366.qasm,4.440892098500626e-16,28.0
circuit436.qasm,0.9267766952966364,26.0
circuit000.qasm,0.3232233047033634,39.0
circuit813.qasm,0.8535533905932733,39.0
circuit604.qasm,0.8535533905932732,42.0
circuit997.qasm,0.713388347648318,35.0
circuit723.qasm,6.106226635438361e-16,23.0
circuit393.qasm,7.771561172376096e-16,28.0
circuit585.qasm,0.8535533905932733,33.0
circuit856.qasm,0.8535533905932733,35.0
circuit151.qasm,0.7499999999999996,44.0
circuit458.qasm,0.9999999999999994,24.0
circuit083.qasm,0.8535533905932733,44.0
circuit336.qasm,0.8017766952966363,35.0
circuit465.qasm,0.8535533905932733,36.0
circuit347.qasm,0.6767766952966365,45.0
circuit258.qasm,0.8901650429449547,28.0
circuit379.qasm,6.106226635438361e-16,21.0
circuit339.qasm,0.8535533905932735,25.0
circuit150.qasm,7.771561172376096e-16,26.0
circuit972.qasm,6.661338147750939e-16,25.0
circuit677.qasm,0.25000000000000044,38.0
circuit340.qasm,4.440892098500626e-16,24.0
circuit781.qasm,0.21338834764831882,29.0
circuit372.qasm,0.25000000000000033,35.0
circuit269.qasm,4.996003610813204e-16,31.0
circuit018.qasm,0.6767766952966366,40.0
circuit136.qasm,0.9267766952966363,24.0
circuit695.qasm,0.07322330470336358,34.0
circuit116.qasm,0.14644660940672682,32.0
circuit287.qasm,0.8535533905932733,29.0
circuit110.qasm,0.7499999999999996,41.0
circuit912.qasm,7.771561172376096e-16,35.0
circuit109.qasm,0.8535533905932735,27.0
circuit494.qasm,0.8535533905932735,36.0
circuit325.qasm,4.996003610813204e-16,21.0
circuit111.qasm,0.3232233047033634,38.0
circuit382.qasm,0.9999999999999992,18.0
circuit402.qasm,0.7499999999999996,35.0
circuit933.qasm,0.25000000000000067,44.0
circuit672.qasm,0.14644660940672688,38.0
circuit386.qasm,0.6767766952966368,41.0
circuit903.qasm,4.440892098500626e-16,28.0
circuit759.qasm,0.14644660940672682,25.0
circuit081.qasm,0.8535533905932733,32.0
circuit939.qasm,0.14644660940672677,33.0
