,Sampling p(meas = 1),# wrong decisions p5e-05,# wrong decisions p7.5e-05,# wrong decisions p0.0001,# wrong decisions p0.00015,# wrong decisions p0.000175,# wrong decisions p0.0002,# wrong decisions p0.005,# wrong decisions p0.008,# wrong decisions p0.01,# wrong decisions p0.014,# wrong decisions p0.02
circuit908.qasm,0.9999999999999993,0.0,0.0,0.0,1.0,2.0,1.0,17.0,25.0,27.0,44.0,31.0
circuit842.qasm,0.14644660940672666,9.0,9.0,18.0,6.0,19.0,17.0,26.0,24.0,29.0,37.0,35.0
circuit146.qasm,6.106226635438361e-16,0.0,0.0,0.0,0.0,0.0,0.0,16.0,24.0,22.0,34.0,33.0
circuit704.qasm,0.25000000000000044,24.0,33.0,20.0,30.0,25.0,24.0,43.0,45.0,39.0,47.0,53.0
circuit984.qasm,0.14644660940672666,14.0,14.0,13.0,14.0,20.0,14.0,28.0,31.0,36.0,37.0,44.0
circuit426.qasm,0.8535533905932733,14.0,18.0,18.0,13.0,19.0,12.0,27.0,20.0,30.0,35.0,41.0
circuit190.qasm,5.551115123125783e-16,0.0,0.0,0.0,1.0,1.0,0.0,14.0,23.0,19.0,36.0,22.0
circuit871.qasm,6.661338147750939e-16,0.0,0.0,0.0,1.0,2.0,2.0,16.0,26.0,28.0,38.0,35.0
circuit188.qasm,0.1464466094067267,16.0,19.0,14.0,14.0,11.0,23.0,30.0,36.0,35.0,29.0,47.0
circuit750.qasm,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,21.0,36.0,40.0
circuit328.qasm,0.8535533905932731,17.0,18.0,12.0,18.0,15.0,9.0,25.0,29.0,30.0,41.0,37.0
circuit275.qasm,0.2500000000000004,24.0,23.0,27.0,22.0,18.0,27.0,29.0,35.0,36.0,31.0,53.0
circuit309.qasm,0.25000000000000033,31.0,24.0,22.0,19.0,29.0,24.0,28.0,33.0,29.0,38.0,38.0
circuit513.qasm,0.2500000000000001,18.0,29.0,17.0,27.0,21.0,22.0,30.0,33.0,37.0,37.0,48.0
circuit969.qasm,2.220446049250313e-16,0.0,0.0,1.0,0.0,0.0,0.0,17.0,18.0,21.0,23.0,38.0
circuit583.qasm,0.7866116523516816,24.0,24.0,18.0,23.0,24.0,28.0,32.0,30.0,39.0,37.0,40.0
circuit483.qasm,0.8535533905932733,17.0,11.0,10.0,14.0,19.0,13.0,32.0,38.0,47.0,41.0,49.0
circuit326.qasm,0.8535533905932732,8.0,11.0,10.0,16.0,13.0,10.0,25.0,23.0,39.0,40.0,46.0
circuit319.qasm,6.106226635438361e-16,0.0,0.0,0.0,1.0,0.0,0.0,12.0,16.0,20.0,29.0,21.0
