,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit908.qasm,73,92,0.9999999999999993,1,1
circuit842.qasm,29,88,0.14644660940672666,0,0
circuit146.qasm,22,96,6.106226635438361e-16,0,0
circuit704.qasm,39,82,0.25000000000000044,0,0
circuit984.qasm,36,88,0.14644660940672666,0,0
circuit426.qasm,70,88,0.8535533905932733,1,1
circuit190.qasm,19,86,5.551115123125783e-16,0,0
circuit871.qasm,28,89,6.661338147750939e-16,0,0
circuit188.qasm,35,81,0.1464466094067267,0,0
circuit750.qasm,21,85,2.220446049250313e-16,0,0
circuit328.qasm,70,90,0.8535533905932731,1,1
circuit275.qasm,36,86,0.2500000000000004,0,0
circuit309.qasm,29,88,0.25000000000000033,0,0
circuit513.qasm,37,85,0.2500000000000001,0,0
circuit969.qasm,21,88,2.220446049250313e-16,0,0
circuit583.qasm,61,82,0.7866116523516816,1,1
circuit483.qasm,53,85,0.8535533905932733,1,1
circuit326.qasm,61,79,0.8535533905932732,1,1
circuit319.qasm,20,82,6.106226635438361e-16,0,0
circuit278.qasm,48,87,0.6767766952966366,1,0
circuit706.qasm,41,85,7.771561172376096e-16,0,0
circuit558.qasm,55,90,0.8535533905932733,1,1
circuit358.qasm,57,89,0.8535533905932735,1,1
circuit394.qasm,35,90,2.220446049250313e-16,0,0
circuit682.qasm,81,87,0.9267766952966363,1,1
circuit035.qasm,26,90,2.220446049250313e-16,0,0
circuit503.qasm,39,86,0.2500000000000005,0,0
circuit812.qasm,39,89,0.14644660940672682,0,0
circuit934.qasm,23,88,0.02144660940672699,0,0
circuit660.qasm,31,87,7.771561172376096e-16,0,0
circuit211.qasm,75,89,0.8535533905932731,1,1
circuit540.qasm,37,87,8.326672684688674e-16,0,0
circuit359.qasm,34,87,0.14644660940672688,0,0
circuit001.qasm,78,85,0.8535533905932733,1,1
circuit115.qasm,59,85,0.8535533905932733,1,1
circuit519.qasm,51,87,0.6767766952966365,1,1
circuit978.qasm,66,89,0.7499999999999998,1,1
circuit385.qasm,60,85,0.8535533905932734,1,1
circuit782.qasm,37,91,6.661338147750939e-16,0,0
circuit822.qasm,31,86,0.14644660940672682,0,0
circuit121.qasm,59,89,0.7499999999999994,1,1
circuit091.qasm,45,78,0.3636262177912838,0,0
circuit131.qasm,67,90,0.9267766952966363,1,1
circuit062.qasm,48,88,0.375,0,0
circuit290.qasm,52,91,0.14644660940672655,0,1
circuit644.qasm,29,88,4.996003610813204e-16,0,0
circuit293.qasm,32,89,6.661338147750939e-16,0,0
circuit584.qasm,63,93,0.7499999999999999,1,1
circuit593.qasm,39,90,8.326672684688674e-16,0,0
circuit863.qasm,22,88,8.881784197001252e-16,0,0
circuit602.qasm,74,88,0.9999999999999991,1,1
circuit261.qasm,26,86,8.326672684688674e-16,0,0
circuit791.qasm,22,84,5.551115123125783e-16,0,0
circuit210.qasm,68,89,0.8535533905932731,1,1
circuit366.qasm,31,89,3.3306690738754696e-16,0,0
circuit436.qasm,75,90,0.9267766952966365,1,1
circuit000.qasm,45,82,0.32322330470336336,0,0
circuit813.qasm,66,88,0.8535533905932733,1,1
circuit604.qasm,54,88,0.8535533905932731,1,1
circuit997.qasm,55,84,0.713388347648318,1,1
circuit723.qasm,26,89,7.771561172376096e-16,0,0
circuit393.qasm,35,88,7.771561172376096e-16,0,0
circuit585.qasm,73,86,0.8535533905932732,1,1
circuit856.qasm,69,88,0.8535533905932732,1,1
circuit151.qasm,62,85,0.7499999999999996,1,1
circuit458.qasm,68,86,0.9999999999999996,1,1
circuit083.qasm,65,83,0.8535533905932733,1,1
circuit336.qasm,50,86,0.8017766952966364,1,0
circuit465.qasm,67,85,0.8535533905932733,1,1
circuit347.qasm,46,87,0.6767766952966365,1,0
circuit258.qasm,71,77,0.8901650429449548,1,1
circuit379.qasm,32,85,6.661338147750939e-16,0,0
circuit339.qasm,57,85,0.8535533905932733,1,1
circuit150.qasm,28,89,7.216449660063518e-16,0,0
circuit972.qasm,21,81,7.216449660063518e-16,0,0
circuit677.qasm,48,93,0.25000000000000056,0,0
circuit340.qasm,25,88,4.440892098500626e-16,0,0
circuit781.qasm,27,86,0.21338834764831882,0,0
circuit372.qasm,48,87,0.25000000000000033,0,0
circuit269.qasm,36,84,6.661338147750939e-16,0,0
circuit018.qasm,47,84,0.6767766952966368,1,0
circuit136.qasm,59,91,0.9267766952966363,1,1
circuit695.qasm,36,85,0.07322330470336352,0,0
circuit116.qasm,31,91,0.14644660940672666,0,0
circuit287.qasm,57,79,0.8535533905932732,1,1
circuit110.qasm,60,87,0.7499999999999996,1,1
circuit912.qasm,19,90,8.326672684688674e-16,0,0
circuit109.qasm,57,85,0.8535533905932733,1,1
circuit494.qasm,61,83,0.8535533905932733,1,1
circuit325.qasm,29,91,5.551115123125783e-16,0,0
circuit111.qasm,51,93,0.32322330470336336,0,1
circuit382.qasm,77,91,0.9999999999999993,1,1
circuit402.qasm,55,88,0.7499999999999996,1,1
circuit933.qasm,44,83,0.25000000000000067,0,0
circuit672.qasm,26,86,0.14644660940672688,0,0
circuit386.qasm,50,84,0.6767766952966368,1,0
circuit903.qasm,18,87,2.220446049250313e-16,0,0
circuit759.qasm,36,91,0.14644660940672682,0,0
circuit081.qasm,61,88,0.8535533905932733,1,1
circuit939.qasm,39,88,0.1464466094067267,0,0
